;OPERATEUR;ANNEE;FILIERE;CODE_IRIS;NOM_COMMUNE;ADRESSE;CODE_GRAND_SECTEUR;CONSO;PDL;latitude;longitude;id;score
413068;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;6 RUE DESCARTES;R;3,812668e+01;16;48.399902;2.955458;77305_0445_00006;0.8703663636363635
413069;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;24 RUE DE PAREDES;R;5,720712e+01;30;48.398816;2.959028;77305_1045_00024;0.87066
413070;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;4 PLACE DU GENERAL BERTRAND;R;2,587721e+01;18;48.397947;2.958304;77305_0655_00004;0.8662018181818182
413071;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;2 RUE DESCARTES;R;4,783114e+01;17;48.400417;2.955523;77305_0445_00002;0.8703663636363635
413072;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;7 RUE DE PAREDES;R;3,547657e+01;23;48.398786;2.958906;77305_1045_00007;0.87066
413073;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;2 RUE EDMOND ROSTAND;R;3,405125e+01;44;48.398464;2.955132;77305_0475_00002;0.8675090909090908
413074;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;2 RUE D OTLEY;R;2,842802e+01;17;48.39936;2.958811;77305_1013_00002;0.8643581818181818
413075;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;12 BOULEVARD DIDEROT;R;3,587024e+01;23;48.397907;2.955273;77305_0447_00012;0.8693518181818181
413076;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;1 RUE D OTLEY;R;3,518399e+01;17;48.399428;2.958712;77305_1013_00001;0.8643581818181818
413077;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;5 RUE DE PAREDES;R;2,552536e+01;15;48.398882;2.958318;77305_1045_00005;0.87066
413078;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;52 SQUARE BEAUMARCHAIS;R;3,938800e+01;12;48.399067;2.955473;77305_0105_00052;0.8733627272727271
413079;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;12 RUE RACINE;R;3,148104e+01;10;48.398575;2.957818;77305_1355_00012;0.8716736363636364
413080;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;8 PLACE DU GENERAL BERTRAND;R;3,414112e+01;19;48.397767;2.958807;77305_0655_00008;0.8662018181818182
413081;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;38 SQUARE BEAUMARCHAIS;R;5,998440e+01;17;48.399292;2.956902;77305_0105_00038;0.8733627272727271
413082;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;40 SQUARE BEAUMARCHAIS;R;6,955977e+01;18;48.399245;2.956599;77305_0105_00040;0.8733627272727271
413083;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;3 RUE D OTLEY;R;2,607599e+01;16;48.398996;2.957926;77305_1013_00003;0.8643581818181818
413084;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;46 SQUARE BEAUMARCHAIS;R;6,551827e+01;18;48.399349;2.95572;77305_0105_00046;0.8733627272727271
413085;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;4 BOULEVARD DIDEROT;R;2,359312e+01;16;48.397889;2.955745;77305_0447_00004;0.8693518181818181
413086;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;8 RUE DESCARTES;R;4,007113e+01;12;48.39979;2.955233;77305_0445_00008;0.8703663636363635
413087;Enedis;2019;E;773050103;MONTEREAU-FAULT-YONNE;4 RUE DESCARTES;R;3,695596e+01;15;48.40016;2.955485;77305_0445_00004;0.8703663636363635
