;OPERATEUR;ANNEE;FILIERE;CODE_IRIS;ADRESSE;NOM_COMMUNE;CODE_GRAND_SECTEUR;CONSO;PDL;latitude;longitude;id;score
178429;GRDF;2019;G;773050202;4 RUE GUE PUCELLE;MONTEREAU-FAULT-YONNE;R;1,559993e+02;16;48.388197;2.950386;77305_0760_00004;0.87471
178430;GRDF;2019;G;773050202;5 RUE DU CHATELET;MONTEREAU-FAULT-YONNE;T;2,297835e+02;1;48.381603;2.943897;77305_0280_00005;0.8728663636363636
178431;GRDF;2019;G;773050202;29 AVENUE DU GENERAL DE GAULLE;MONTEREAU-FAULT-YONNE;T;2,481810e+02;1;48.381199;2.949405;77305_0660_00029;0.8785609090909091
178432;GRDF;2019;G;773050202;RUE DES DEMOISELLES;MONTEREAU-FAULT-YONNE;T;5,326543e+02;1;48.386149;2.946685;77305_0440;0.8662018181818182
178433;GRDF;2019;G;773050203;RUE PIERRE BROSSOLETTE;MONTEREAU-FAULT-YONNE;I;2,562502e+02;1;48.384848;2.951253;77305_1170;0.8653727272727272
178434;GRDF;2019;G;773050203;6 RUE DE L ANCIENNE PIPERIE;MONTEREAU-FAULT-YONNE;I;1,162595e+03;1;48.384111;2.954739;77305_0020_00006;0.8685236363636363
178435;GRDF;2019;G;773050203;7 RUE VICTOR HUGO;MONTEREAU-FAULT-YONNE;R;6,428245e+01;12;48.38451;2.95413;77305_1560_00007;0.8730381818181818
178436;GRDF;2019;G;773050203;8 RUE PIERRE;MONTEREAU-FAULT-YONNE;R;4,075918e+02;1;48.38716;2.953357;77305_1190_00008;0.8723090909090909
178437;GRDF;2019;G;773050203;5 RUE DE LA FAIENCERIE;MONTEREAU-FAULT-YONNE;R;8,222654e+01;13;48.384713;2.953064;77305_0564_00005;0.8700527272727272
178438;GRDF;2019;G;773050203;4 RUE DE L ANCIENNE PIPERIE;MONTEREAU-FAULT-YONNE;R;5,631560e+00;13;48.384082;2.955057;77305_0020_00004;0.8685236363636363
178439;GRDF;2019;G;773050203;2 RUE EDMOND FORTIN;MONTEREAU-FAULT-YONNE;R;2,951620e+02;1;48.384661;2.957579;77305_0470_00002;0.8716736363636364
178440;GRDF;2019;G;773050203;1 RUE DE LA FAIENCERIE;MONTEREAU-FAULT-YONNE;R;1,107288e+02;16;48.38484;2.953746;77305_0564_00001;0.8700527272727272
178441;GRDF;2019;G;773050203;7 RUE DE LA FAIENCERIE;MONTEREAU-FAULT-YONNE;R;1,197961e+02;15;48.384565;2.952991;77305_0564_00007;0.8700527272727272
178442;GRDF;2019;G;773050203;13 QUAI D YONNE;MONTEREAU-FAULT-YONNE;R;4,149311e+02;2;48.386486;2.960938;77305_1620_00013;0.8735172727272726
178443;GRDF;2019;G;773050203;6 RUE DE L ANCIENNE PIPERIE;MONTEREAU-FAULT-YONNE;R;2,816070e+00;11;48.384111;2.954739;77305_0020_00006;0.8685236363636363
178444;GRDF;2019;G;773050203;19 RUE PIERRE CORNEILLE;MONTEREAU-FAULT-YONNE;R;2,083704e+02;1;48.379306;2.951313;77305_1180_00019;0.8716736363636364
178445;GRDF;2019;G;773050203;7 B RUE VICTOR HUGO;MONTEREAU-FAULT-YONNE;R;1,021005e+02;16;48.384495;2.954136;77305_1560_00007_b;0.8730381818181818
178446;GRDF;2019;G;773050203;22 T BOULEVARD CHEREAU;MONTEREAU-FAULT-YONNE;R;5,029402e+01;10;48.377779;2.951958;77305_0290_00022_ter;0.7391945454545454
178447;GRDF;2019;G;773050203;14 BOULEVARD CRETTE PREIGNARD;MONTEREAU-FAULT-YONNE;R;8,389539e+01;11;48.383815;2.95067;77305_0390_00014;0.8732036363636363
178448;GRDF;2019;G;773050203;8 RUE PIERRE DE MONTEREAU;MONTEREAU-FAULT-YONNE;R;3,095186e+02;1;48.38716;2.953357;77305_1190_00008;0.8723090909090909
178449;GRDF;2019;G;773050203;8 RUE DE L ANCIENNE PIPERIE;MONTEREAU-FAULT-YONNE;R;1,156980e+01;14;48.384142;2.954414;77305_0020_00008;0.8685236363636363
178450;GRDF;2019;G;773050203;3 RUE DE LA FAIENCERIE;MONTEREAU-FAULT-YONNE;R;1,014601e+02;15;48.384876;2.953436;77305_0564_00003;0.8700527272727272
178451;GRDF;2019;G;773050203;2 PLACE DU CALVAIRE;MONTEREAU-FAULT-YONNE;R;2,078050e+02;1;48.386143;2.954875;77305_0190_00002;0.8643581818181818
178452;GRDF;2019;G;773050203;1 RUE VICTOR HUGO;MONTEREAU-FAULT-YONNE;T;6,573031e+03;1;48.382823;2.95308;77305_1560_00001;0.8730381818181818
179447;GRDF;2019;G;774090000;IMPASSE DE MERLANGE;SAINT-GERMAIN-LAVAL;T;1,598347e+01;1;48.4109;2.975052;77409_0081;0.8581009090909091
179448;GRDF;2019;G;774090000;RUE DE PROVINS;SAINT-GERMAIN-LAVAL;T;1,948377e+03;1;48.399273;2.995706;77409_0110;0.8637018181818181
179542;GRDF;2019;G;774390000;5 RUE DE PROVINS;SALINS;T;7,414565e+02;1;48.421989;3.021522;77439_0250_00005;0.8614927272727272
180015;GRDF;2019;G;774820000;36 AVENUE ALBERT GRAVE;VARENNES-SUR-SEINE;R;2,593469e+01;15;48.374444;2.936075;77482_0040_00036;0.8722472727272726
180016;GRDF;2019;G;774820000;1 RUE LOUISE GOUNON;VARENNES-SUR-SEINE;R;6,128083e+01;10;48.374522;2.9367;77482_0410_00001;0.8596445454545454
180017;GRDF;2019;G;774820000;28 AVENUE ALBERT GRAVE;VARENNES-SUR-SEINE;R;2,385231e+01;16;48.374236;2.934113;77482_0040_00028;0.8722472727272726
180018;GRDF;2019;G;774820000;1 A AVENUE ALBERT GRAVE;VARENNES-SUR-SEINE;R;1,526236e+01;31;48.375223;2.940378;77482_0040;0.7234869421487603
180019;GRDF;2019;G;774820000;34 AVENUE ALBERT GRAVE;VARENNES-SUR-SEINE;R;3,184381e+01;16;48.374416;2.93584;77482_0040_00034;0.8722472727272726
180020;GRDF;2019;G;774820000;32 AVENUE ALBERT GRAVE;VARENNES-SUR-SEINE;R;2,125360e+01;16;48.374327;2.935108;77482_0040_00032;0.8722472727272726
180021;GRDF;2019;G;774820000;38 AVENUE ALBERT GRAVE;VARENNES-SUR-SEINE;R;6,824856e+01;10;48.374745;2.937003;77482_0040_00038;0.8722472727272726
180022;GRDF;2019;G;774820000;30 AVENUE ALBERT GRAVE;VARENNES-SUR-SEINE;R;2,853191e+01;16;48.374309;2.934859;77482_0040_00030;0.8722472727272726
180023;GRDF;2019;G;774820000;8 AVENUE DU 8 MAI 1945;VARENNES-SUR-SEINE;R;2,185035e+02;1;48.374252;2.943647;77482_0403_00008;0.8705436363636363
180024;GRDF;2019;G;774820000;RUE DE LA GARE;VARENNES-SUR-SEINE;T;1,237262e+03;2;48.377662;2.935355;77482_0300;0.8699954545454545
180025;GRDF;2019;G;774820000;30 RUE GRANDE;VARENNES-SUR-SEINE;T;7,198200e+02;1;48.375256;2.926895;77482_0350_00030;0.87164
180026;GRDF;2019;G;774820000;ZAC DE BREAU;VARENNES-SUR-SEINE;T;2,129078e+03;1;48.375256;2.926895;77482_0350_00030;0.87164
180027;GRDF;2019;G;774820000;RUE INCONNUE;VARENNES-SUR-SEINE;T;1,041359e+03;1;48.376192;2.932333;77482_0100;0.22326015810276678
180028;GRDF;2019;G;774820000;RUE MALIK OUSSEKINE;VARENNES-SUR-SEINE;T;4,378796e+02;1;48.376192;2.932333;77482_0100;0.22326015810276678
180029;GRDF;2019;G;774820000;120 AVENUE ALBERT GRAVE;VARENNES-SUR-SEINE;T;1,267592e+03;1;48.375851;2.947025;77482_0040_00120;0.8722472727272726
180030;GRDF;2019;G;774820000;30 AVENUE ALBERT GRAVE;VARENNES-SUR-SEINE;T;5,668607e+02;1;48.374309;2.934859;77482_0040_00030;0.8722472727272726
180031;GRDF;2019;G;774820000;6 AVENUE D ORMES;VARENNES-SUR-SEINE;T;8,501646e+02;1;48.373424;2.927411;77482_0540;0.75276
180032;GRDF;2019;G;774820000;AVENUE DU 8 MAI 1945;VARENNES-SUR-SEINE;T;1,811436e+02;1;48.371353;2.940519;77482_0403;0.8705436363636363
180033;GRDF;2019;G;774820000;AVENUE DU 8 MAI 1945;VARENNES-SUR-SEINE;T;4,663245e+02;1;48.371353;2.940519;77482_0403;0.8705436363636363
180261;GRDF;2019;G;775310000;19 RUE JULES MASSENET;VOULX;T;3,767521e+02;1;48.27926;2.970187;77531_0260_00019;0.8603072727272727
180262;GRDF;2019;G;775310000;15 RUE JULES MASSENET;VOULX;T;5,436331e+02;1;48.277787;2.970797;77531_0260_00015;0.8603072727272727
